N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+757,-0.03851196,2,-0.03851196,-38.27233799,2.825482e-05,18.217,17.374,17.374,0
2mer-0+786,0.04854359,4,0.09708718,-38.17525081,2.824591e-05,18.53,17.376,17.376,0
2mer-0+684,0.03858223,2,0.03858223,-38.13666858,2.824141e-05,18.247,17.377,17.377,0
2mer-0+711,-0.06405734,4,-0.12811468,-38.26478326,2.801443e-05,18.248,17.424,17.424,0
2mer-0+736,-0.02366936,2,-0.02366936,-38.28845262,2.79545e-05,18.27,17.436,17.436,0
2mer-0+704,-0.04103787,1,-0.02051893,-38.30897155,2.793422e-05,18.27,17.44,17.44,0
2mer-0+794,-0.01391419,2,-0.01391419,-38.32288575,2.76884e-05,18.269,17.492,17.492,0
2mer-0+669,0.03732855,4,0.07465709,-38.24822865,2.721604e-05,17.936,17.592,17.592,0
2mer-0+766,0.02217893,4,0.04435787,-38.20387079,2.721426e-05,19.091,17.593,17.593,0
2mer-0+824,0.03036606,2,0.03036606,-38.17350473,2.709782e-05,18.207,17.618,17.618,0
2mer-0+812,-0.03376568,2,-0.03376568,-38.20727041,2.70971e-05,18.269,17.618,17.618,0
2mer-0+687,0.0291709,2,0.0291709,-38.17809952,2.708197e-05,18.325,17.621,17.621,0
2mer-0+755,-0.00478393,2,-0.00478393,-38.18288345,2.698617e-05,18.59,17.642,17.642,0
2mer-0+691,-0.00655371,2,-0.00655371,-38.18943716,2.66435e-05,18.266,17.718,17.718,0
